FECHA;ESPECIAL
1/01/2014;NAVIDAD
6/01/2014;FESTIVO
3/03/2014;FESTIVO
24/03/2014;FESTIVO
13/04/2014;SANTA
14/04/2014;SANTA
15/04/2014;SANTA
16/04/2014;SANTA
17/04/2014;SANTA
18/04/2014;SANTA
19/04/2014;SANTA
1/05/2014;FESTIVO
11/05/2014;MADRE
29/05/2014;FESTIVO
30/06/2014;FESTIVO
20/07/2014;FESTIVO
7/08/2014;FESTIVO
6/10/2014;VACACIONES
7/10/2014;VACACIONES
8/10/2014;VACACIONES
9/10/2014;VACACIONES
10/10/2014;VACACIONES
31/10/2014;BRUJOS
3/11/2014;FESTIVO
17/11/2014;FESTIVO
24/12/2014;NAVIDAD
25/12/2014;NAVIDAD
31/12/2014;NAVIDAD
1/01/2015;NAVIDAD
6/01/2015;FESTIVO
16/02/2015;FESTIVO
23/03/2015;FESTIVO
29/03/2015;SANTA
30/03/2015;SANTA
31/03/2015;SANTA
1/04/2015;SANTA
2/04/2015;SANTA
3/04/2015;SANTA
4/04/2015;SANTA
1/05/2015;FESTIVO
10/05/2015;MADRE
14/05/2015;FESTIVO
29/06/2015;FESTIVO
20/07/2015;FESTIVO
7/08/2015;FESTIVO
5/10/2015;VACACIONES
6/10/2015;VACACIONES
7/10/2015;VACACIONES
8/10/2015;VACACIONES
9/10/2015;VACACIONES
12/10/2015;FESTIVO
31/10/2015;BRUJOS
2/11/2015;FESTIVO
16/11/2015;FESTIVO
24/12/2015;NAVIDAD
25/12/2015;NAVIDAD
31/12/2015;NAVIDAD
1/01/2016;NAVIDAD
6/01/2016;FESTIVO
8/02/2016;FESTIVO
20/03/2016;SANTA
21/03/2016;SANTA
22/03/2016;SANTA
23/03/2016;SANTA
24/03/2016;SANTA
25/03/2016;SANTA
26/03/2016;SANTA
1/05/2016;FESTIVO
5/05/2016;FESTIVO
8/05/2016;MADRE
4/07/2016;FESTIVO
20/07/2016;FESTIVO
7/08/2016;FESTIVO
10/10/2016;VACACIONES
11/10/2016;VACACIONES
12/10/2016;VACACIONES
13/10/2016;VACACIONES
14/10/2016;VACACIONES
17/10/2016;FESTIVO
31/10/2016;BRUJOS
7/11/2016;FESTIVO
14/11/2016;FESTIVO
24/12/2016;NAVIDAD
25/12/2016;NAVIDAD
31/12/2016;NAVIDAD
1/01/2017;NAVIDAD
6/01/2017;FESTIVO
27/02/2017;FESTIVO
20/03/2017;FESTIVO
9/04/2017;SANTA
10/04/2017;SANTA
11/04/2017;SANTA
12/04/2017;SANTA
13/04/2017;SANTA
14/04/2017;SANTA
15/04/2017;SANTA
1/05/2017;FESTIVO
14/05/2017;MADRE
25/05/2017;FESTIVO
3/07/2017;FESTIVO
20/07/2017;FESTIVO
7/08/2017;FESTIVO
9/10/2017;VACACIONES
10/10/2017;VACACIONES
11/10/2017;VACACIONES
12/10/2017;VACACIONES
13/10/2017;VACACIONES
16/10/2017;FESTIVO
31/10/2017;BRUJOS
6/11/2017;FESTIVO
13/11/2017;FESTIVO
24/12/2017;NAVIDAD
25/12/2017;NAVIDAD
31/12/2017;NAVIDAD
1/01/2018;NAVIDAD
8/01/2018;FESTIVO
12/02/2018;FESTIVO
19/03/2018;FESTIVO
25/03/2018;SANTA
26/03/2018;SANTA
27/03/2018;SANTA
28/03/2018;SANTA
29/03/2018;SANTA
30/03/2018;SANTA
31/03/2018;SANTA
1/05/2018;FESTIVO
13/05/2018;MADRE
14/05/2018;FESTIVO
2/07/2018;FESTIVO
20/07/2018;FESTIVO
7/08/2018;FESTIVO
8/10/2018;VACACIONES
9/10/2018;VACACIONES
10/10/2018;VACACIONES
11/10/2018;VACACIONES
12/10/2018;VACACIONES
15/10/2018;FESTIVO
31/10/2018;BRUJOS
5/11/2018;FESTIVO
12/11/2018;FESTIVO
24/12/2018;NAVIDAD
25/12/2018;NAVIDAD
31/12/2018;NAVIDAD
1/01/2019;NAVIDAD
7/01/2019;FESTIVO
4/03/2019;FESTIVO
25/03/2019;FESTIVO
14/04/2019;SANTA
15/04/2019;SANTA
16/04/2019;SANTA
17/04/2019;SANTA
18/04/2019;SANTA
19/04/2019;SANTA
20/04/2019;SANTA
1/05/2019;FESTIVO
12/05/2019;MADRE
3/06/2019;FESTIVO
1/07/2019;FESTIVO
20/07/2019;FESTIVO
7/08/2019;FESTIVO
7/10/2019;VACACIONES
8/10/2019;VACACIONES
9/10/2019;VACACIONES
10/10/2019;VACACIONES
11/10/2019;VACACIONES
14/10/2019;FESTIVO
31/10/2019;BRUJOS
4/11/2019;FESTIVO
11/11/2019;FESTIVO
24/12/2019;NAVIDAD
25/12/2019;NAVIDAD
31/12/2019;NAVIDAD
